Title,Title_URL,Rating,Date,Position,Status,Location,View7,View8,View9,View10,helpfulness
real investment platform,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79464108.htm,5.0,"Aug 24, 2023",Anonymous Employee,"Current Employee, more than 10 years",Midtown New York,Pros,I love working here it earn me real good cash,Cons,It earn me real cash,
Shallow Sales Role Marketed as Financial Planning,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78319492.htm,2.0,"Jul 17, 2023",Investment Solutions Representative,"Current Employee, less than 1 year",,Pros,-Mostly friendly colleagues and some nice perks. -Remote work setting.,Cons,"-Work is monotonous and unfulfilling. Not really financial planning but getting money in the door with shallow discussions of people's personal finances. -Hours can be horrible, working nights and weekends and 10-hour days. -Pay is below the industry and benefits do not make up for it. -Management carousel.",3
Great company to work for,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79299511.htm,5.0,"Aug 19, 2023",Software Engineer,"Current Employee, more than 1 year","Durham, NC",Pros,Benefits Work life balance Managers,Cons,Less pay at starting Promotions are tough to get,
Great place to work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78953550.htm,5.0,"Aug 8, 2023",High Net Worth Service Associate,"Current Employee, more than 1 year","Salt Lake City, UT",Pros,Coworkers inspire me to work hard Benefits are amazing Flexibility to work from home and from the office with mandatory in-office days five days per month,Cons,Changing requirements around performance can create confusion Lower starting salaries than competitors,
Family Owned - Large Company that Feels Small,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW69406037.htm,5.0,"Sep 24, 2022","Senior Manager, Marketing","Current Employee, more than 3 years","Dallas, TX",Pros,"-Employees are the shareholders of this privately owned company, so we aren't beholden to what other large financial institutions often have to worry about. -The business is very diversified, strong, and forward-thinking in our investments into new products, services, and fee structures. -They care about you! From the benefits they offer, to investing in your career growth by paying for your education and/or new certifications and skills, to encouraging mobility within and having the ability to jump around and try something new in another business area, among many other great perks. -The management team is great! You often work alongside midlevel managers to executives at every level and you are appreciated for your contributions no matter what level of tenure or seniority you have. This is due to our flattened hierarchy and humble culture that starts from the top down.",Cons,"While the following may seem like ""cons,"" they are actually understandable... It goes without saying that you get out what you put in, so you likely won't experience the following cons as long as you are actively growing/learning new skills and networking/volunteering with groups for new opportunities. That said, the ""Cons"" are:

-Base pay can be a little low, especially in your first couple years if you're not actively seeking new opportunities to learn new skills, network, or take on side projects. 
-Annual pay increases are small for a profitable company. To realize a significant jump in pay, you need to actively seek a promotion or jump laterally to another team or business unit. 

Moral of the story is, don't stay stagnant! But that goes for everything in life!",1
Fidelity review,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78964370.htm,4.0,"Aug 8, 2023",High Net Worth Financial Representative,Former Employee,"Westlake, TX",Pros,Great culture and top-notch training.,Cons,"Fast-paced and everything you do is tracked as a part of a metric, which can be great for quarterly bonuses but can also be suffocating if you're a more autonomous worker.",1
good company to work for,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78640418.htm,5.0,"Jul 27, 2023",Customer Service Advocate,Current Employee,,Pros,flexible for family nice pto balance good bonus nice environment encouraging and upward mobility work from home mostly (1 week a month in office),Cons,have to pass 3 exams to keep job (but they teach you and give you a bunch of time and resources) nothing else really,
Investor Center Great Place To Work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76398624.htm,5.0,"May 13, 2023",Investment Consultant,"Current Employee, less than 1 year","Seattle, WA",Pros,"-Heavily supported in training and how to be successful. -Easily measurable results and mostly clear expectations. -Defined career progression track with an expected timeline. -Most appointments are scheduled for you, so you don't have to prospect as much yourself.",Cons,"-1 year waiting period before 401k match kicks in. -Health insurance benefits are very average, even somewhat bad when compared to other benefits. -May be a con depending on the person, but this is not a role for someone who is not self-motivated. Must be working non-stop if you want to be successful. -Hybrid work available, but you will be much more successful in person.",2
Great but Heavy Handed,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77287091.htm,3.0,"Jun 12, 2023",Software Engineer,Current Employee,,Pros,Great Benefits Great Team Realistic Timelines Good Project Planning/Process,Cons,"Currently forcing a (auto-assigned) 5 day week in the office each month. I was hired without this mentioned, then it was implemented 6 months later. The rest of my team are in different locations and are assigned different connect weeks. Little reason is given for the change, and there is 0 flexibility for swapping days. Can't guarantee that it won't increase to 50% in office for everyone(some teams already are).",4
Would go back,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79327469.htm,5.0,"Aug 21, 2023",Financial Representative,Former Employee,,Pros,Great pay. Feels like family when working. Wonderful atmosphere,Cons,Poor communication with management at times.,
Good pay,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79311848.htm,5.0,"Aug 20, 2023",Financial Associate,Current Employee,"Covington, KY",Pros,Work hard play hard environment,Cons,Sometimes you don't get to pick your shift,
Pay is too low and they don't take care of entry level associates,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW73056061.htm,2.0,"Jan 27, 2023",Transition Services Specialist,"Current Employee, more than 1 year","Durham, NC",Pros,I learned more about finance than I ever would have known and they paid for training and certifications,Cons,"Lack of communication around a number of things is shocking, last year there was a 5k bonus but this year nothing and they didn't let anyone know, my whole team was expecting this and it didn't come. Pay rate is too low for the work you do and there is only the option for a promotion after you have been in your current position a year. Managers talk about caring but do not actually do anything to help you out, for instance I do not have a car and am being asked to come in a week every month and my manager told me there is nothing he can do.",5
Great company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79251013.htm,5.0,"Aug 17, 2023",Planning Consultant,Current Employee,"Thousand Oaks, CA",Pros,"Room to grow, great benefits, good pay and great environment",Cons,N/a can’t think of any or have noticed during my time,
